state,value
Alabama,22136
Alaska,-3879
Arkansas,16016
Arizona,93026
California,-367299
Colorado,13054
Connecticut,5134
Delaware,12207
District of Columbia,-23030
Florida,220890
Georgia,50632
Hawaii,-12603
Iowa,833
Idaho,48876
Illinois,-122460
Indiana,14280
Kansas,-5241
Kentucky,10022
Louisiana,-30312
Maine,15473
Maryland,-19871
Massachusetts,-46187
Michigan,-7893
Minnesota,-13453
Missouri,14473
Mississippi,-4246
Montana,19240
North Carolina,88673
North Dakota,-6460
Nebraska,-3313
New Hampshire,13608
New Jersey,-27766
New Mexico,-2186
Nevada,25327
New York,-352185
Ohio,-3128
Oklahoma,24867
Oregon,8080
Pennsylvania,-3194
Rhode Island,890
South Carolina,64833
South Dakota,5564
Tennessee,61390
Texas,170307
Utah,32200
Virginia,-8995
Vermont,4589
Washington,-29
Wisconsin,3307
West Virginia,2343
Wyoming,1252
