state,value
Alabama,22136
Alaska,0
Arkansas,16016
Arizona,93026
California,0
Colorado,13054
Connecticut,5134
Delaware,12207
District of Columbia,0
Florida,220890
Georgia,50632
Hawaii,0
Iowa,833
Idaho,48876
Illinois,0
Indiana,14280
Kansas,0
Kentucky,10022
Louisiana,0
Maine,15473
Maryland,0
Massachusetts,0
Michigan,0
Minnesota,0
Missouri,14473
Mississippi,0
Montana,19240
North Carolina,88673
North Dakota,0
Nebraska,0
New Hampshire,13608
New Jersey,0
New Mexico,0
Nevada,25327
New York,0
Ohio,0
Oklahoma,24867
Oregon,8080
Pennsylvania,0
Rhode Island,890
South Carolina,64833
South Dakota,5564
Tennessee,61390
Texas,170307
Utah,32200
Virginia,0
Vermont,4589
Washington,0
Wisconsin,3307
West Virginia,2343
Wyoming,1252
