State,Code,Mig_2019,Median_house,Median_income
Alabama,"01",22136,138975,57186
Alaska,"02",-3879,300889,78236
Arizona,"04",39026,268765,70220
Arkansas,"05",16016,128101,53148
California,"06",-367299,554886,81278
Colorado,"08",13054,397820,87689
Connecticut,"09",5134,255555,83141
Delaware,"10",12207,254108,73292
District of Columbia,"11",-23030,626911,92337
Florida,"12",220890,245169,60460
Georgia,"13",50632,201294,62033
Hawaii,"15",-12603,636451,84600
Idaho,"16",48876,285982,69841
Illinois,"17",-122460,202675,77805
Indiana,"18",14280,155640,69925
Iowa,"19",833,152885,72030
Kansas,"20",-5241,150657,76495
Kentucky,"21",10022,146871,59405
Louisiana,"22",-30312,166565,53576
Maine,"23",15473,242316,66667
Maryland,"24",-19871,308041,99215
Massachusetts,"25",-46187,422856,91912
Michigan,"26",-7893,173277,67399
Minnesota,"27",-13453,256857,82431
Mississippi,"28",-4246,126502,47242
Missouri,"29",14473,162464,65081
Montana,"30",19240,277801,59390
Nebraska,"31",-3313,175884,75622
Nevada,"32",25327,301753,64020
New Hampshire,"33",13608,290163,93045
New Jersey,"34",-27766,355607,89543
New Mexico,"35",-2186,203678,53283
New York,"36",-352185,321934,71865
North Carolina,"37",88673,202215,63198
North Dakota,"38",-6460,235012,67109
Ohio,"39",-3128,150374,63198
Oklahoma,"40",24867,128934,54921
Oregon,"41",8080,361970,80443
Pennsylvania,"42",-3194,194603,74094
Rhode Island,"44",890,300808,83918
South Carolina,"45",64833,185922,63159
South Dakota,"46",5564,205567,73467
Tennessee,"47",61390,185922,57542
Texas,"48",170307,207301,71599
Utah,"49",32200,348376,87915
Vermont,"50",4589,254234,70398
Virginia,"51",-8995,285229,86053
Washington,"53",-29,409228,85157
West Virginia,"54",2343,108236,54396
Wisconsin,"55",3307,202029,70553
Wyoming,"56",1252,250890,68506
