Country,Year,Migrants
Austria,1983,1083
Austria,1984,1057
Austria,1985,1308
Austria,1986,2227
Austria,1987,1970
Austria,1988,1100
Austria,1989,533
Austria,1990,357
Austria,1991,315
Austria,1992,252
Austria,1993,323
Austria,1994,441
Austria,1995,620
Austria,1996,531
Austria,1997,631
Austria,1998,761
Austria,1999,581
Austria,2000,532
Austria,2001,640
Austria,2002,525
Austria,2003,355
Austria,2004,404
Austria,2005,308
Austria,2006,853
Austria,2007,785
Austria,2008,559
Austria,2009,386
Austria,2010,338
Austria,2011,473
Austria,2012,479
Austria,2013,772
Austria,2014,676
Austria,2015,
Austria,2016,481
Austria,2017,387
Austria,2018,359
Austria,2019,397
Austria,2020,553
Austria,2021,629
Belgium,1983,137
Belgium,1984,84
Belgium,1985,177
Belgium,1986,211
Belgium,1987,187
Belgium,1988,79
Belgium,1989,75
Belgium,1990,67
Belgium,1991,64
Belgium,1992,68
Belgium,1993,86
Belgium,1994,91
Belgium,1995,109
Belgium,1996,67
Belgium,1997,80
Belgium,1998,77
Belgium,1999,99
Belgium,2000,99
Belgium,2001,103
Belgium,2002,119
Belgium,2003,138
Belgium,2004,130
Belgium,2005,149
Belgium,2006,307
Belgium,2007,402
Belgium,2008,325
Belgium,2009,281
Belgium,2010,296
Belgium,2011,330
Belgium,2012,397
Belgium,2013,589
Belgium,2014,539
Belgium,2015,
Belgium,2016,200
Belgium,2017,251
Belgium,2018,187
Belgium,2019,224
Belgium,2020,226
Belgium,2021,323
Bulgaria,1983,55
Bulgaria,1984,61
Bulgaria,1985,51
Bulgaria,1986,38
Bulgaria,1987,28
Bulgaria,1988,30
Bulgaria,1989,16
Bulgaria,1990,8
Bulgaria,1991,11
Bulgaria,1992,11
Bulgaria,1993,15
Bulgaria,1994,11
Bulgaria,1995,9
Bulgaria,1996,9
Bulgaria,1997,6
Bulgaria,1998,21
Bulgaria,1999,9
Bulgaria,2000,9
Bulgaria,2001,5
Bulgaria,2002,12
Bulgaria,2003,0
Bulgaria,2004,4
Bulgaria,2005,26
Bulgaria,2006,8
Bulgaria,2007,17
Bulgaria,2008,13
Bulgaria,2009,7
Bulgaria,2010,5
Bulgaria,2011,7
Bulgaria,2012,4
Bulgaria,2013,13
Bulgaria,2014,7
Bulgaria,2015,
Bulgaria,2016,2
Bulgaria,2017,11
Bulgaria,2018,6
Bulgaria,2019,7
Bulgaria,2020,4
Bulgaria,2021,14
Chechia,1983,
Chechia,1984,
Chechia,1985,
Chechia,1986,
Chechia,1987,
Chechia,1988,
Chechia,1989,
Chechia,1990,
Chechia,1991,
Chechia,1992,
Chechia,1993,28
Chechia,1994,53
Chechia,1995,89
Chechia,1996,55
Chechia,1997,47
Chechia,1998,43
Chechia,1999,50
Chechia,2000,59
Chechia,2001,57
Chechia,2002,38
Chechia,2003,46
Chechia,2004,41
Chechia,2005,49
Chechia,2006,90
Chechia,2007,116
Chechia,2008,123
Chechia,2009,44
Chechia,2010,66
Chechia,2011,79
Chechia,2012,62
Chechia,2013,131
Chechia,2014,84
Chechia,2015,
Chechia,2016,45
Chechia,2017,42
Chechia,2018,47
Chechia,2019,30
Chechia,2020,33
Chechia,2021,65
Denmark,1983,100
Denmark,1984,132
Denmark,1985,280
Denmark,1986,444
Denmark,1987,427
Denmark,1988,244
Denmark,1989,99
Denmark,1990,73
Denmark,1991,97
Denmark,1992,84
Denmark,1993,92
Denmark,1994,102
Denmark,1995,92
Denmark,1996,111
Denmark,1997,86
Denmark,1998,89
Denmark,1999,99
Denmark,2000,90
Denmark,2001,100
Denmark,2002,95
Denmark,2003,68
Denmark,2004,50
Denmark,2005,58
Denmark,2006,175
Denmark,2007,217
Denmark,2008,208
Denmark,2009,137
Denmark,2010,138
Denmark,2011,178
Denmark,2012,168
Denmark,2013,244
Denmark,2014,232
Denmark,2015,
Denmark,2016,125
Denmark,2017,130
Denmark,2018,134
Denmark,2019,130
Denmark,2020,179
Denmark,2021,223
France,1983,1069
France,1984,707
France,1985,1044
France,1986,1578
France,1987,1516
France,1988,924
France,1989,546
France,1990,398
France,1991,328
France,1992,265
France,1993,212
France,1994,309
France,1995,380
France,1996,255
France,1997,245
France,1998,266
France,1999,263
France,2000,309
France,2001,261
France,2002,339
France,2003,251
France,2004,300
France,2005,295
France,2006,579
France,2007,533
France,2008,564
France,2009,388
France,2010,339
France,2011,376
France,2012,433
France,2013,575
France,2014,483
France,2015,
France,2016,199
France,2017,209
France,2018,212
France,2019,174
France,2020,147
France,2021,227
Greece,1983,345
Greece,1984,187
Greece,1985,360
Greece,1986,710
Greece,1987,911
Greece,1988,562
Greece,1989,212
Greece,1990,142
Greece,1991,181
Greece,1992,100
Greece,1993,61
Greece,1994,85
Greece,1995,88
Greece,1996,52
Greece,1997,50
Greece,1998,43
Greece,1999,52
Greece,2000,49
Greece,2001,74
Greece,2002,75
Greece,2003,56
Greece,2004,75
Greece,2005,76
Greece,2006,155
Greece,2007,119
Greece,2008,174
Greece,2009,88
Greece,2010,91
Greece,2011,58
Greece,2012,68
Greece,2013,77
Greece,2014,72
Greece,2015,
Greece,2016,24
Greece,2017,26
Greece,2018,27
Greece,2019,39
Greece,2020,16
Greece,2021,22
Spain,1983,67
Spain,1984,44
Spain,1985,66
Spain,1986,102
Spain,1987,135
Spain,1988,84
Spain,1989,43
Spain,1990,14
Spain,1991,14
Spain,1992,34
Spain,1993,37
Spain,1994,53
Spain,1995,70
Spain,1996,47
Spain,1997,58
Spain,1998,53
Spain,1999,97
Spain,2000,111
Spain,2001,131
Spain,2002,166
Spain,2003,139
Spain,2004,201
Spain,2005,265
Spain,2006,625
Spain,2007,650
Spain,2008,514
Spain,2009,330
Spain,2010,272
Spain,2011,304
Spain,2012,251
Spain,2013,394
Spain,2014,349
Spain,2015,
Spain,2016,138
Spain,2017,175
Spain,2018,171
Spain,2019,169
Spain,2020,105
Spain,2021,157
Netherlands,1983,248
