,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,ID
Total,28843,19870,19368,22117,14099,30160,19080,12976,11848,9592,26657,28858,29504,34181,22724,23750,32038,26381,17401,20578,29008,36436,36291,26645,18440,20977,18115,21376,25904,26344,21297,20222,22177,21536,26999,23368,24532,20813,18877,22242,46936,35480,30140,18620,17360,19858,21200,32103,28080,,11970,11888,11849,10726,8780,12005,
Austria,,,,,,,,193,217,260,268,225,227,293,362,414,1353,1083,1057,1308,2227,1970,1100,533,357,315,252,323,441,620,531,631,761,581,532,640,525,355,404,308,853,785,559,386,338,473,479,772,676,,481,387,359,397,553,629,AT
Belgium,,,,,,,,102,119,96,66,67,83,56,87,64,136,137,84,177,211,187,79,75,67,64,68,86,91,109,67,80,77,99,99,103,119,138,130,149,307,402,325,281,296,330,397,589,539,,200,251,187,224,226,323,BE
Bulgaria,,,,,,,,57,28,23,28,48,47,45,40,47,88,55,61,51,38,28,30,16,8,11,11,15,11,9,9,6,21,9,9,5,12,0,4,26,8,17,13,7,5,7,4,13,7,,2,11,6,7,4,14,BG
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,53,89,55,47,43,50,59,57,38,46,41,49,90,116,123,44,66,79,62,131,84,,45,42,0,30,33,65,CZ
Denmark,,,,,,,,115,103,94,51,59,74,74,65,53,128,100,132,280,444,427,244,99,73,97,84,92,102,92,111,86,89,99,90,100,95,68,50,58,175,217,208,137,138,178,168,244,232,,125,130,134,130,179,223,DK
France,809,787,805,849,724,621,621,569,483,446,389,363,363,362,402,361,1049,1069,707,1044,1578,1516,924,546,398,328,265,212,309,380,255,245,266,263,309,261,339,251,300,295,579,533,564,388,339,376,433,575,483,,199,209,212,174,147,227,FR
Greece,,,,,,,,,,,,,,,,,,345,187,360,710,911,562,212,142,181,100,61,85,88,52,50,43,52,49,74,75,56,75,76,155,119,174,88,91,58,68,77,72,,24,26,27,39,16,22,GR
Spain,,,,,,,,,,,,,,,,,,67,44,66,102,135,84,43,14,14,34,37,53,70,47,58,53,97,111,131,166,139,201,265,625,650,514,330,272,304,251,394,349,,138,175,171,169,105,157,ES
Netherlands,,,,,,,,96,68,81,56,90,105,116,98,140,230,248,158,238,335,337,216,127,103,102,155,152,189,181,190,139,166,218,239,265,290,275,363,393,925,1098,1004,691,680,899,982,1440,1356,,786,758,787,770,968,1169,NL
