Destination,Population,Code,Austria,Belgium,Bulgaria,Croatia,Cypres,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,UK
Austria,8956000,AT,,,,,,,,,,,187000,,,,,,,,,,,,,,,,,
Belgium,11590000,BE,,,,,,,,,,,,,,,,,,19000,,4071,,5000,,,,43227,,
Bulgaria,6878000,BG,36355,40687,,,,14183,,,2767,,411000,35104,,,50000,,,,,,,7000,,,,117056,,
Croatia,3899000,HR,,,,,,,,,,,435000,,,,165000,,,,,1235,,,,,,,,
Cypres,1244000,CY,,,,,,,,,,,,17500,,,,,,,,,,,,,,,,
Czech Republic,10510000,CZ,,,,7862,,,,,,,63000,,,,,,,,,,,,,,,,,
Denmark,5857000,DK,,,,,,,,,379,,,,,,,,,,,,,,,,,,38070,
Estonia,1331000,EE,,,,,,,,,46935,,,,,,,,,,,,,,,,,,,
Finland,5541000,FI,,,,,,,,6130,,,,,,,,,,,,,,,,,,,133083,
France,67750000,FR,,170324,,,,,,,3129,,140000,,,11600,31300,,,49104,,5096,,28000,,,,128500,,
Germany,83200000,DE,,39714,,2900,,20478,34983,2536,7402,,,12000,20000,11500,158000,,,13000,745,10780,21200,16000,,,,143079,55000,
Greece,10640000,GR,,,,,,,,,,,363000,,,,20015,,,,,4781,,,,,,,,
Hungary,9710000,HU,,,,,,7575,,,,,213000,2500,,,,,,,,3136,,,,,,,,
Ireland,5033000,IE,,,,,,,,,,,,,,,,,,,,,,,,,,20317,,412000
Italy,59110000,IT,36051,155696,,20521,,5482,,,3395,288311,647000,6000,,11700,,,,25000,950,7246,,34000,,,,298817,,280000
Latvia,1884000,LV,,,,,,,,,3259,,41000,,,20000,,,,,,1821,,,,,,,,
Lithuania,2801000,LT,,,,,,,,,,,58000,,,37000,,,,,,1843,,,,,,,,
Luxembourg,640064,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,518536,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,17530000,NL,,159319,,,,,,,,,150000,,,,10100,,,,,,,10000,,,,55009,1648,
Poland,37750000,PL,66155,70671,,,,20567,46917,,5266,,871000,12900,,63300,78000,,,5000,,25096,,3061,,,,65727,98387,682000
Portugal,10330000,PT,,48979,,,,,,,,613592,139000,,,,,,,92101,,3406,,,,,,107326,,170000
Romania,19120000,RO,,105358,,,,,,,,,845000,22000,17000,29000,1145718,,,60600,,11071,,24000,,,,632859,35565,329000
Slovakia,5447000,SK,,,,,,,,,,,62000,,16000,,,,,,,1884,,,,,,,,
Slovenia,2108000,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,47420000,ES,,67861,,,,,,,3371,247000,189000,,,12112,33000,,,9000,,7231,6000,17000,,,,,4677,
Sweden,10420000,SE,,,,,,,,,,,,,,,,,,,,,,,,,,26167,,
United Kingdom,67330000,UK,,,,,,8132,16240,,7208,,85000,13000,,112000,30000,,,,,,,37000,,,,316529,32575,
