Destination,Population,Code,Austria,Belgium,Bulgaria,Croatia,Cypres,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,UK
Austria,8956000,AT,,,36355,,,,,,,,,,,,36051,,,,,,66155,,,,,,,
Belgium,11590000,BE,,,40687,,,,,,,170324,39714,,,,155696,,,,,159319,70671,48979,105358,,,67861,,
Bulgaria,6878000,BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,3899000,HR,,,,,,7862,,,,,2900,,,,20521,,,,,,,,,,,,,
Cypres,1244000,CY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,10510000,CZ,,,14183,,,,,,,,20478,,7575,,5482,,,,,,20567,,,,,,,8132
Denmark,5857000,DK,,,,,,,,,,,34983,,,,,,,,,,46917,,,,,,,16240
Estonia,1331000,EE,,,,,,,,,6130,,2536,,,,,,,,,,,,,,,,,
Finland,5541000,FI,,,2767,,,,379,46935,,3129,7402,,,,3395,3259,,,,,5266,,,,,3371,,7208
France,67750000,FR,,,,,,,,,,,,,,,288311,,,,,,,613592,,,,247000,,
Germany,83200000,DE,187000,,411000,435000,,63000,,,,140000,,363000,213000,,647000,41000,58000,,,150000,871000,139000,845000,62000,,189000,,85000
Greece,10640000,GR,,,35104,,17500,,,,,,12000,,2500,,6000,,,,,,12900,,22000,,,,,13000
Hungary,9710000,HU,,,,,,,,,,,20000,,,,,,,,,,,,17000,16000,,,,
Ireland,5033000,IE,,,,,,,,,,11600,11500,,,,11700,20000,37000,,,,63300,,29000,,,12112,,112000
Italy,59110000,IT,,,50000,165000,,,,,,31300,158000,20015,,,,,,,,10100,78000,,1145718,,,33000,,30000
Latvia,1884000,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,2801000,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,640064,LU,,19000,,,,,,,,49104,13000,,,,25000,,,,,,5000,92101,60600,,,9000,,
Malta,518536,MT,,,,,,,,,,,745,,,,950,,,,,,,,,,,,,
Netherlands,17530000,NL,,4071,,1235,,,,,,5096,10780,4781,3136,,7246,1821,1843,,,,25096,3406,11071,1884,,7231,,
Poland,37750000,PL,,,,,,,,,,,21200,,,,,,,,,,,,,,,6000,,
Portugal,10330000,PT,,5000,7000,,,,,,,28000,16000,,,,34000,,,,,10000,3061,,24000,,,17000,,37000
Romania,19120000,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,5447000,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,2108000,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,47420000,ES,,43227,117056,,,,,,,128500,143079,,,20317,298817,,,,,55009,65727,107326,632859,,,,26167,316529
Sweden,10420000,SE,,,,,,,38070,,133083,,55000,,,,,,,,,1648,98387,,35565,,,4677,,32575
United Kingdom,67330000,UK,,,,,,,,,,,,,,412000,280000,,,,,,682000,170000,329000,,,,,
