Yearmon,CPI
1/1/13,9.8
1/2/13,9.8
1/3/13,9.8
1/4/13,9.8
1/5/13,9.7
1/6/13,9.8
1/7/13,9.9
1/8/13,9.9
1/9/13,10
1/10/13,10
1/11/13,10.1
1/12/13,10
1/1/14,10
1/2/14,9.9
1/3/14,9.9
1/4/14,9.8
1/5/14,9.9
1/6/14,9.9
1/7/14,10
1/8/14,10.2
1/9/14,10.2
1/10/14,10.1
1/11/14,10.2
1/12/14,10.1
1/1/15,10.1
1/2/15,10
1/3/15,9.9
1/4/15,10
1/5/15,10.1
1/6/15,10.1
1/7/15,10.1
1/8/15,10.1
1/9/15,10.1
1/10/15,10.2
1/11/15,10.3
1/12/15,10.3
1/1/16,10.4
1/2/16,10.4
1/3/16,10.5
1/4/16,10.6
1/5/16,10.7
1/6/16,10.8
1/7/16,10.8
1/8/16,10.9
1/9/16,11.1
1/10/16,11.3
1/11/16,11.5
1/12/16,11.6
1/1/17,11.7
1/2/17,12
1/3/17,12
1/4/17,12.6
1/5/17,12.8
1/6/17,13
1/7/17,12.8
1/8/17,13
1/9/17,13.3
1/10/17,13.5
1/11/17,13.5
1/12/17,13.7
1/1/18,14
1/2/18,14.1
1/3/18,14
1/4/18,14.2
1/5/18,14.5
1/6/18,14.7
1/7/18,15.1
1/8/18,15.4
1/9/18,15.7
1/10/18,16
1/11/18,16.3
1/12/18,16.5
1/1/19,16.5
1/2/19,16.2
1/3/19,16.4
1/4/19,16.7
1/5/19,16.9
1/6/19,16.9
1/7/19,17.4
1/8/19,17.7
1/9/19,17.8
1/10/19,18.1
1/11/19,18.5
1/12/19,18.9
1/1/20,19.3
1/2/20,19.5
1/3/20,19.7
1/4/20,20.3
1/5/20,20.6
1/6/20,20.9
1/7/20,20.8
1/8/20,20.3
1/9/20,20
1/10/20,19.9
1/11/20,19.8
1/12/20,19.4
1/1/21,19
1/2/21,18.4
1/3/21,18.3
1/4/21,18.1
1/5/21,17.7
1/6/21,17.6
1/7/21,17.7
1/8/21,17.7
1/9/21,17.5
1/10/21,17.5
1/11/21,17.4
1/12/21,17.3
1/1/22,16.9
1/2/22,16.9
1/3/22,16.7
1/4/22,16.7
1/5/22,16.7
1/6/22,16.7
1/7/22,16.8
1/8/22,16.6
1/9/22,16.6
1/10/22,16.7
1/11/22,16.8
1/12/22,16.9
1/1/23,16.8
1/2/23,16.8
1/3/23,16.8
1/4/23,16.9
1/5/23,16.9
1/6/23,17
1/7/23,17.2
1/8/23,17.1
1/9/23,17.2
1/10/23,17.3
1/11/23,17.3
1/12/23,17.3
1/1/24,17.3
1/2/24,17.2
1/3/24,17.1
1/4/24,17
1/5/24,17
1/6/24,17
1/7/24,17.1
1/8/24,17
1/9/24,17.1
1/10/24,17.2
1/11/24,17.2
1/12/24,17.3
1/1/25,17.3
1/2/25,17.2
1/3/25,17.3
1/4/25,17.2
1/5/25,17.3
1/6/25,17.5
1/7/25,17.7
1/8/25,17.7
1/9/25,17.7
1/10/25,17.7
1/11/25,18
1/12/25,17.9
1/1/26,17.9
1/2/26,17.9
1/3/26,17.8
1/4/26,17.9
1/5/26,17.8
1/6/26,17.7
1/7/26,17.5
1/8/26,17.4
1/9/26,17.5
1/10/26,17.6
1/11/26,17.7
1/12/26,17.7
1/1/27,17.5
1/2/27,17.4
1/3/27,17.3
1/4/27,17.3
1/5/27,17.4
1/6/27,17.6
1/7/27,17.3
1/8/27,17.2
1/9/27,17.3
1/10/27,17.4
1/11/27,17.3
1/12/27,17.3
1/1/28,17.3
1/2/28,17.1
1/3/28,17.1
1/4/28,17.1
1/5/28,17.2
1/6/28,17.1
1/7/28,17.1
1/8/28,17.1
1/9/28,17.3
1/10/28,17.2
1/11/28,17.2
1/12/28,17.1
1/1/29,17.1
1/2/29,17.1
1/3/29,17
1/4/29,16.9
1/5/29,17
1/6/29,17.1
1/7/29,17.3
1/8/29,17.3
1/9/29,17.3
1/10/29,17.3
1/11/29,17.3
1/12/29,17.2
1/1/30,17.1
1/2/30,17
1/3/30,16.9
1/4/30,17
1/5/30,16.9
1/6/30,16.8
1/7/30,16.6
1/8/30,16.5
1/9/30,16.6
1/10/30,16.5
1/11/30,16.4
1/12/30,16.1
1/1/31,15.9
1/2/31,15.7
1/3/31,15.6
1/4/31,15.5
1/5/31,15.3
1/6/31,15.1
1/7/31,15.1
1/8/31,15.1
1/9/31,15
1/10/31,14.9
1/11/31,14.7
1/12/31,14.6
1/1/32,14.3
1/2/32,14.1
1/3/32,14
1/4/32,13.9
1/5/32,13.7
1/6/32,13.6
1/7/32,13.6
1/8/32,13.5
1/9/32,13.4
1/10/32,13.3
1/11/32,13.2
1/12/32,13.1
1/1/33,12.9
1/2/33,12.7
1/3/33,12.6
1/4/33,12.6
1/5/33,12.6
1/6/33,12.7
1/7/33,13.1
1/8/33,13.2
1/9/33,13.2
1/10/33,13.2
1/11/33,13.2
1/12/33,13.2
1/1/34,13.2
1/2/34,13.3
1/3/34,13.3
1/4/34,13.3
1/5/34,13.3
1/6/34,13.4
1/7/34,13.4
1/8/34,13.4
1/9/34,13.6
1/10/34,13.5
1/11/34,13.5
1/12/34,13.4
1/1/35,13.6
1/2/35,13.7
1/3/35,13.7
1/4/35,13.8
1/5/35,13.8
1/6/35,13.7
1/7/35,13.7
1/8/35,13.7
1/9/35,13.7
1/10/35,13.7
1/11/35,13.8
1/12/35,13.8
1/1/36,13.8
1/2/36,13.8
1/3/36,13.7
1/4/36,13.7
1/5/36,13.7
1/6/36,13.8
1/7/36,13.9
1/8/36,14
1/9/36,14
1/10/36,14
1/11/36,14
1/12/36,14
1/1/37,14.1
1/2/37,14.1
1/3/37,14.2
1/4/37,14.3
1/5/37,14.4
1/6/37,14.4
1/7/37,14.5
1/8/37,14.5
1/9/37,14.6
1/10/37,14.6
1/11/37,14.5
1/12/37,14.4
1/1/38,14.2
1/2/38,14.1
1/3/38,14.1
1/4/38,14.2
1/5/38,14.1
1/6/38,14.1
1/7/38,14.1
1/8/38,14.1
1/9/38,14.1
1/10/38,14
1/11/38,14
1/12/38,14
1/1/39,14
1/2/39,13.9
1/3/39,13.9
1/4/39,13.8
1/5/39,13.8
1/6/39,13.8
1/7/39,13.8
1/8/39,13.8
1/9/39,14.1
1/10/39,14
1/11/39,14
1/12/39,14
1/1/40,13.9
1/2/40,14
1/3/40,14
1/4/40,14
1/5/40,14
1/6/40,14.1
1/7/40,14
1/8/40,14
1/9/40,14
1/10/40,14
1/11/40,14
1/12/40,14.1
1/1/41,14.1
1/2/41,14.1
1/3/41,14.2
1/4/41,14.3
1/5/41,14.4
1/6/41,14.7
1/7/41,14.7
1/8/41,14.9
1/9/41,15.1
1/10/41,15.3
1/11/41,15.4
1/12/41,15.5
1/1/42,15.7
1/2/42,15.8
1/3/42,16
1/4/42,16.1
1/5/42,16.3
1/6/42,16.3
1/7/42,16.4
1/8/42,16.5
1/9/42,16.5
1/10/42,16.7
1/11/42,16.8
1/12/42,16.9
1/1/43,16.9
1/2/43,16.9
1/3/43,17.2
1/4/43,17.4
1/5/43,17.5
1/6/43,17.5
1/7/43,17.4
1/8/43,17.3
1/9/43,17.4
1/10/43,17.4
1/11/43,17.4
1/12/43,17.4
1/1/44,17.4
1/2/44,17.4
1/3/44,17.4
1/4/44,17.5
1/5/44,17.5
1/6/44,17.6
1/7/44,17.7
1/8/44,17.7
1/9/44,17.7
1/10/44,17.7
1/11/44,17.7
1/12/44,17.8
1/1/45,17.8
1/2/45,17.8
1/3/45,17.8
1/4/45,17.8
1/5/45,17.9
1/6/45,18.1
1/7/45,18.1
1/8/45,18.1
1/9/45,18.1
1/10/45,18.1
1/11/45,18.1
1/12/45,18.2
1/1/46,18.2
1/2/46,18.1
1/3/46,18.3
1/4/46,18.4
1/5/46,18.5
1/6/46,18.7
1/7/46,19.8
1/8/46,20.2
1/9/46,20.4
1/10/46,20.8
1/11/46,21.3
1/12/46,21.5
1/1/47,21.5
1/2/47,21.5
1/3/47,21.9
1/4/47,21.9
1/5/47,21.9
1/6/47,22
1/7/47,22.2
1/8/47,22.5
1/9/47,23
1/10/47,23
1/11/47,23.1
1/12/47,23.4
1/1/48,23.7
1/2/48,23.5
1/3/48,23.4
1/4/48,23.8
1/5/48,23.9
1/6/48,24.1
1/7/48,24.4
1/8/48,24.5
1/9/48,24.5
1/10/48,24.4
1/11/48,24.2
1/12/48,24.1
1/1/49,24
1/2/49,23.8
1/3/49,23.8
1/4/49,23.9
1/5/49,23.8
1/6/49,23.9
1/7/49,23.7
1/8/49,23.8
1/9/49,23.9
1/10/49,23.7
1/11/49,23.8
1/12/49,23.6
1/1/50,23.5
1/2/50,23.5
1/3/50,23.6
1/4/50,23.6
1/5/50,23.7
1/6/50,23.8
1/7/50,24.1
1/8/50,24.3
1/9/50,24.4
1/10/50,24.6
1/11/50,24.7
1/12/50,25
1/1/51,25.4
1/2/51,25.7
1/3/51,25.8
1/4/51,25.8
1/5/51,25.9
1/6/51,25.9
1/7/51,25.9
1/8/51,25.9
1/9/51,26.1
1/10/51,26.2
1/11/51,26.4
1/12/51,26.5
1/1/52,26.5
1/2/52,26.3
1/3/52,26.3
1/4/52,26.4
1/5/52,26.4
1/6/52,26.5
1/7/52,26.7
1/8/52,26.7
1/9/52,26.7
