name,description,latitude,longitude,
Alabama,Alabama,33.215775,-87.538261,
Alaska,Alaska,64.835365,-147.776749,
Arizona,Arizona,32.248814,Ê-110.987419,
Arkansas,Arkansas,36.082157,-94.171852,
California,California,Ê37.428230,-122.168861,
Colorado,Colorado,Ê40.014984,-105.270546,
Connecticut,Connecticut,41.316307,-72.922585,
Delaware,Delaware,39.677956,-75.750900,
Florida,Florida,29.643946,-82.355659,
Georgia,Georgia,33.797028,-84.323242,
Hawaii,Hawaii,21.297000,-157.817000,
Idaho,Idaho,44.068203,-114.742043,
Illinois,Illinois,41.789722,-87.599724,
Indiana,Indiana,41.699280,-86.238899,
Iowa,Iowa,41.662696,-91.554900,
Kansas,Kansas,38.952200,-95.256000,
Kentucky,Kentucky,38.212032,-85.757263,
Louisiana,Louisiana,29.940348,-90.120728,
Maine,Maine,44.883427,-68.670815,
Maryland,Maryland,39.328888,-76.620277,
Massachusetts,Massachusetts,42.374443,-71.116943,
Michigan,Michigan,42.278046,-83.738220,
Minnesota,Minnesota,44.974720,-93.258133,
Mississippi,Mississippi,34.364732,-89.538443,
Missouri,Missouri,38.648987,-90.312553,
Montana,Montana,45.676998,-111.042931,
Nebraska,Nebraska,40.820744,-96.700470,
Nevada,Nevada,36.107655,-115.143059,
New Hampshire,New Hampshire,43.704540,Ê-72.288986,
New Jersey,New Jersey,40.343899,-74.660049,
New Mexico,New Mexico,35.083889Ê,-106.618600,
North Carolina,North Carolina,36.001465,-78.939133,
North Dakota,North Dakota,47.922200,-97.073400,
New York,New York,40.807384,-73.963036,
Ohio,Ohio,41.504200,-81.608500,
Oklahoma,Oklahoma,35.205894,-97.445717,
Oregon,Oregon,44.043320,-123.077728,
Pennsylvania,Pennsylvania,39.952305,-75.193703,
Rhode Island,Rhode Island,41.826820,-71.402931,
South Carolina,South Carolina,33.991800,-81.021800,
South Dakota,South Dakota,43.522800,-96.735500,
Tennessee,Tennessee,36.144051,-86.800949,
Texas,Texas,29.717154,-95.404182,
Utah,Utah,37.095169,-113.575974,
Vermont,Vermont,44.477500,-73.193600,
Virginia,Virginia,38.033554,-78.507980,
Washington,Washington,47.655548,-122.303200,
West Virginia,West Virginia,39.000000,-80.500000,
Wisconsin,Wisconsin,Ê43.075000,-89.417200,
Wyoming,Wyoming,43.075970,-107.290283,
,,,,
